ID,State,Institution,Series,first_enrollment,degree_enrollment,number_recipients,RAW_avg_aid,avg_aid,aid_concentration,RAW_total_aid,total_aid,RAW_total_cost,total_cost,private,public,urban,rural,carnegie,udgr_enrollment,acceptance_rate,udgr_recipients,RAW_udgr_avg,udgr_avg,RAW_udgr_aid,udgr_aid,doctoral,masters,bachelor,city,suburban,town_rural
202480,OH,University of Dayton,2015-2016,NA,NA,NA,NA,NA,NA,NA,NA,53530,60339,1,0,1,0,1,8556,0.58,2016,18947,21357,38197152,43055722.31,1,0,0,1,0,0
202480,OH,University of Dayton,2016-2017,NA,NA,NA,NA,NA,NA,NA,NA,56370,62580,1,0,1,0,1,8261,0.60,1714,20822,23116,35688908,39620641.65,1,0,0,1,0,0
202480,OH,University of Dayton,2017-2018,NA,NA,NA,NA,NA,NA,NA,NA,57680,62137,1,0,1,0,1,8422,0.72,2102,22788,24549,47900376,51601901.7,1,0,0,1,0,0
202480,OH,University of Dayton,2018-2019,51,441,179,18401,19310,0.41,3293721,3456398,59230,62155,1,0,1,0,1,8508,0.72,2090,24911,26141,52063990,54635433.72,1,0,0,1,0,0
202480,OH,University of Dayton,2019-2020,67,422,134,22324,22756,0.32,2991389,3049315,60900,62079,1,0,1,0,1,8399,0.72,NA,NA,NA,NA,NA,1,0,0,1,0,0
169716,MI,University of Detroit Mercy,2012-2013,NA,NA,NA,NA,NA,NA,NA,NA,50492,60739,1,0,1,0,1,2808,0.62,473,20828,25055,9851644,11850869.16,0,1,0,1,0,0
169716,MI,University of Detroit Mercy,2013-2014,NA,NA,NA,NA,NA,NA,NA,NA,52400,62060,1,0,1,0,1,2871,0.62,482,23174,27446,11169868,13229054.55,0,1,0,1,0,0
169716,MI,University of Detroit Mercy,2014-2015,34,149,131,13158,15131,0.88,1723712,1982241,52302,60146,1,0,1,0,1,2677,0.69,453,23680,27232,10727040,12335921.12,0,1,0,1,0,0
169716,MI,University of Detroit Mercy,2015-2016,28,131,94,21309,24019,0.72,1738941,1960129,52128,58759,1,0,1,0,1,2586,0.73,500,25319,28540,12659500,14269752.8,0,1,0,1,0,0
169716,MI,University of Detroit Mercy,2016-2017,32,145,99,21475,23841,0.68,2125996,2360210,53574,59476,1,0,1,0,1,2530,0.78,519,27368,30383,14203992,15768800.69,0,1,0,1,0,0
